document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
COMM-1,"Elenco dei serial number di moduli, inverter, trasformatori, datalogger",Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-2,Rapporti di prova sul calcestruzzo: procedura ed elenco dei lavori,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-3,"Strutture di supporto - cold commissioning (tolleranze meccaniche, verticalita, serraggio bulloni)",Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-4,"Test di resistenza di messa a terra e controllo del collegamento equipotenziale della struttura, con certificato di calibrazione",Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-5,Test di verifica dei rele di protezione SPG-SPI in conformita alla CEI 0-16,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-6,"VLF test (resistenza di isolamento) dei cavi MT, con certificato di calibrazione",Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-7,"Test di polarita dei circuiti DC, con certificato di calibrazione",Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-8,"Test di tensione a circuito aperto nei circuiti DC, con certificato di calibrazione",Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-8b,Test di isolamento circuiti DC,Commissioning,Commissioning,,,NOT STARTED,,A,YES,Commissioning check list (Cold),Cold commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
COMM-9,"Test di tensione a circuito aperto nei circuiti AC, con certificato di calibrazione",Commissioning,Commissioning,,,NOT STARTED,,B,YES,Commissioning check list (Hot),Hot commissioning phase. Source: Schedule 04A Attachment 2 / Schedule 04B Attachment 1.
