wbs_code,work_package,itp_reference,inspection_type,point_type,required_evidence,acceptance_criterion,applicable_specification,discipline,source
1.2.2.4,Perimetral & Internal Roads and Site Accesses,SCH02-2.14.18,Dimensional check,WITNESS,Road width survey record,Permanent access roads and internal roads leading to the transformer station and inverters are at least 3 m wide.,Schedule 02 par. 2.14.18,Civil,Schedule 02 - Technical Specification
1.2.2.4,Perimetral & Internal Roads and Site Accesses,SCH02-2.14.15,Visual inspection,REVIEW,Compaction and gravel records,"Stripping and filling carried out with qualified fill, watered and compacted, deformations and settlement rectified at final levelling, and covered with gravel.",Schedule 02 par. 2.14.15 and 2.14.17,Civil,Schedule 02 - Technical Specification
1.2.2.4,Perimetral & Internal Roads and Site Accesses,SCH02-2.14.17,Visual inspection,HOLD,Turning area check,No dead-end road without sufficient turning area for operation and maintenance vehicles. Roads constructed and compacted according to the geotechnical report.,Schedule 02 par. 2.14.17,Civil,Schedule 02 - Technical Specification
1.2.2.5,Definitive Fence and Gates,SCH02-2.14.22,Dimensional check,WITNESS,Fence installation record,"Fence posts at least 2 m above ground at a maximum spacing of 3 m, each with a 50 cm gooseneck bend at 45 degrees.",Schedule 02 par. 2.14.22,Civil,Schedule 02 - Technical Specification
1.2.2.5,Definitive Fence and Gates,SCH02-2.14.23,Dimensional check,REVIEW,Mesh certificate and measurement,Fence mesh grid at most 50 x 50 mm with a minimum wire thickness of 3 mm.,Schedule 02 par. 2.14.23,Civil,Schedule 02 - Technical Specification
1.2.2.5,Definitive Fence and Gates,SCH02-2.14.24,Dimensional check,WITNESS,Gate installation record,At least one pedestrian gate 2 m high by 1.5 m wide and one sliding vehicle gate 2.5 m high by 6 m wide.,Schedule 02 par. 2.14.24,Civil,Schedule 02 - Technical Specification
1.2.2.5,Definitive Fence and Gates,SCH02-2.14.25,Visual inspection,REVIEW,Fence topping record,At least three rows of horizontal or diagonal tension wires; three rows of barbed wire each at least 40 cm high; 45 cm diameter spiral razor wire above and a further 45 cm spiral razor wire laid on the ground on the plant side.,Schedule 02 par. 2.14.25,Civil,Schedule 02 - Technical Specification
1.2.2.5,Definitive Fence and Gates,SCH02-2.14.26,Visual inspection,REVIEW,Post base inspection record,Fence post bases dome-shaped to shed water. Basin-shaped concrete that can pool water is not accepted.,Schedule 02 par. 2.14.26,Civil,Schedule 02 - Technical Specification
1.2.2.5,Definitive Fence and Gates,SCH02-2.14.19,Dimensional check,REVIEW,Gravel strip survey,A 3 m wide gravel layer is applied in all areas between the perimeter fence and the PV modules throughout the site.,Schedule 02 par. 2.14.19,Civil,Schedule 02 - Technical Specification
1.2.2.2,Drainage System Works,SCH02-2.14.20,Visual inspection,REVIEW,Drainage falls survey,Road surfaces sloped toward both edges of the access roads for stormwater drainage; slopes maintained to ensure adequate water movement.,Schedule 02 par. 2.14.16 and 2.14.20,Civil,Schedule 02 - Technical Specification
1.3.2.3,Upper Structure installation,SCH13B-01,Dimensional check,HOLD,Structure height survey record,"Total structure height must not exceed the 2.30 m limit set as an authorisation mitigation measure. The 2P configuration at 20 degrees with 60 cm ground clearance reaches 2.24 m, leaving 6 cm of tolerance.",Schedule 13B rev.2 item 1; doc. S04_SIA,Mechanical,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026
1.3.2.2,Foundation Piles Ramming,SCH13B-02,Mechanical test,HOLD,Pull-out test report,Embedment depth of 1.5 m assumed. The pull-out test results govern the required embedment; any additional length is a variation at EUR 2.60 per pole per 10 cm.,Schedule 13B rev.2 item 2,Mechanical,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026
1.3,PV Plant Construction Works,SCH02-2.13.6,Document review,HOLD,Defect rectification record,Incomplete or faulty manufacturing and equipment detected during inspection and testing is corrected within 15 days at the latest.,Schedule 02 par. 2.13.6,QA/QC,Schedule 02 - Technical Specification
1.6,Provisional Acceptance,SCH02-2.13.12,Document review,HOLD,Investor acceptance minutes,Investor acceptance tests are carried out by the Investor and the technical audit company within 15 working days at the latest following DSO acceptance. DSO acceptance does not constitute acceptance by the Investor.,Schedule 02 par. 2.13.12,QA/QC,Schedule 02 - Technical Specification
1.4.2,Electrical Works Cold Tests,SCH02-2.13.14,Electrical test,HOLD,Full pre-commissioning test pack,"AC/DC circuit tests; 100% IV and polarity tests on strings; MV, LV AC and DC cabling insulation resistance tests; thermography of modules and other heating equipment; equipotential and grounding measurements.",Schedule 02 par. 2.13.14,Electrical,Schedule 02 - Technical Specification
